Economy_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value
Ukraine,57.94,52.61,59.07,62.8,59.73,63.65,70.94,78.82,83.59,82.06,76.51,72.41,69.84,57.57,58.98,59.05,58.27,56.4,59.41,59.24,60.55,64.87,64.18,72.78,62.69,66.37,70.1,72.7,68.65,71.01,69.63,72.19,72.05,74.09,71.89,73.14,76.14,74.19,69.92,68.74,63.69,63.51,67.6,59.83,63.95,70.72,69.87,71.41,71.35,69.56,69.14,66.28,66.52,64.89,67.13,65.12,65.24,65.31,69.43,70.53,76.3,74.12,69.38,71.67,74.81,,,,,6.31,7.35,7.35,7.35,11.01,14.94,18.06,23.51,24.08,19.66
United Arab Emirates,247.93,246.42,256.05,255.91,260.93,267.39,264.24,274.8,282.72,283.33,298.82,319.42,323.11,311.11,306.73,303.33,300.27,299.58,296.25,291.68,299.15,294.01,297.43,293.37,288.8,282.71,291.96,299.65,295.55,298.38,292.4,288.12,287.63,289.64,291.93,289.21,284.56,285.56,294.68,304.23,309.05,301.09,307.42,292.53,289.71,288.52,285.69,287.46,295.17,292.75,288.23,280.97,275.04,282.35,276.53,280.1,277.66,278.52,283.37,277.09,278.61,272.13,267.39,260.31,267.04,270.41,272.82,279.45,292.56,299.15,305.76,307.43,305.35,296.3,302.87,311.19,328.13,326.12,318.55
United Kingdom,488.02,498.17,500.67,506.75,497.23,487.51,475.95,474.94,474.45,477.86,468.74,448.1,450.42,454,427.26,424.89,421.34,422.81,423.99,417.42,433.18,421.68,409.93,410.32,403.67,389.6,382.65,381.27,378.63,376.68,379.63,373.41,382.37,395.4,409.6,396.52,404.02,402.08,400.83,404.76,408.22,412.1,404.18,390.54,401.52,400.63,403.74,397.64,395.65,405.8,401.18,390.32,400.13,395.02,398.73,400.64,386.94,371.21,384.15,391.97,395.59,384.79,376.02,381.35,379.52,385.19,375.9,386.02,373.88,374.32,375.29,377.8,378.72,380.52,378.66,380.57,391.29,392.82,396.48
United Republic of Tanzania,52.52,54.63,55.81,58.36,55.24,60.01,64.08,59.18,56.11,50.68,49.21,49.44,54.12,49.45,46.99,46.33,45.08,53.58,58.96,53.1,59.57,58.81,59.64,61.53,54.44,57.65,56.04,53.75,51.4,57.48,57.69,61.94,60.76,55.09,53.74,53.64,44.73,44.12,48.84,55.75,52.34,52.62,54,54.06,49.74,49.17,49.77,51.01,52.28,53.46,56.78,56.62,64.03,51.78,51.8,51.05,50.62,49,49.65,47.86,48.54,47.07,46.91,50.01,49.99,49.17,50.35,51.49,55.05,57.63,53.09,59.48,60.09,58.23,58.49,56.44,62.62,59.4,67.28
United States,505.61,518.29,519.01,510.85,491.63,500.43,499.05,482.52,467.32,464.46,465.76,467.55,465.92,468.28,464.89,449.11,447.53,457.66,478.71,480.68,484.11,493.96,491.72,467.49,463.76,476.05,479.14,482.29,476.35,483.49,498.46,501.4,481.17,491.61,494.96,484.86,477.59,483.06,489.33,486.32,486.62,485.25,474.04,455.53,469.29,471.23,469.72,469.74,471.66,478.06,475.98,475.67,481.63,478.04,477.01,486.97,484.29,481.97,489.62,493.15,508.45,502.22,522.71,535.94,537.18,533.47,535.56,523.46,513.72,515.12,507.06,504.82,498.38,500.26,521.07,520.56,522.55,518.98,528.35
United States Virgin Islands,22.11,22.51,20.76,20.76,21.82,21.82,21.82,18.76,18.76,18.76,18.76,18.76,18.76,18.76,18.76,18.76,18.76,18.76,18.76,19.17,19.17,19.17,19.17,20.57,20.57,20.57,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.14,23.09,23.09,23.15,23.15,23.15,23.15,23.15,23.41,23.34,23.34,23.34,21.53,21.53,21.53,21.53,22.56,22.56,21.58,21.58,22.72,22.71,22.71,22.71,22.71,22.71,26.97,26.97,26.97,19.28,19.28,19.28,19.28,18.65,18.65,18.42,18.65,18.65,18.75,18.77,18.77,18.77,18.77,19.72,21.6
Uruguay,68.65,75.34,71.52,66.4,60.5,68.48,69.73,70.1,72.04,67.19,71.98,65.26,74.18,88.87,83.91,87.66,90.29,92.25,89.88,87.42,88.84,87.82,89.28,92.02,88.48,86.69,89.41,91.91,92.12,93.21,88.94,84.53,87.96,86.98,89.34,88.93,88.77,88.54,79.45,75.73,79.19,85.84,85.79,86.87,84.01,85.56,85.62,88.48,86.76,85.67,92.43,88.55,84.22,84.07,84.05,84.04,83.04,85.67,85.99,86,84.82,86.34,86.85,89.19,94.52,92.1,92.01,92.02,94.84,96.34,98.15,97.08,100.03,99.63,94.58,94.66,97.36,96.66,96.32
Vanuatu,23.31,25.28,24.61,25.75,25.75,25.75,25.75,25.08,25.09,25.77,28.42,29.02,29.02,26.02,16.92,16.92,16.92,9.61,13.4,13.78,13.78,22.28,22.28,24.28,24.28,20.63,24,27.08,23.55,28.78,28.78,28.76,29.01,29.02,29.02,25.21,25.21,25.21,25.21,23.44,24.07,24.07,25.55,25.57,24.25,24.25,24.25,22.89,22.89,22.9,22.22,22.14,22.14,22.14,22.14,23.49,23.49,23.49,24.62,23.48,23.48,24.26,24.18,24.19,23.27,23.29,23.29,23.29,22.96,25.07,25.09,25.09,25.16,25.17,25.4,25.85,25.88,25.88,25.87
Venezuela (Bolivarian Rep. of),115.95,113.32,113.69,120.51,116.33,116.07,120.03,121.19,122.84,119.27,116.26,112.45,105.96,109.77,112.98,106.27,102.87,101.66,97.31,93.24,85.33,82.22,81.96,88.54,96.35,95.37,97.56,96.61,97.72,94.49,97.07,96.9,93.88,91.07,89.46,76.03,83.76,70.99,71.42,66.23,61.99,69.11,66.67,56.06,54.49,48.65,47.07,49.44,49.11,52.52,49.39,49.39,48.31,48.31,48.57,43.92,43.83,43.84,40.59,42.88,38.15,32.9,32.25,22.2,22.77,24.82,30.97,28.92,30.6,30.88,31.41,32.66,35.26,37.62,37.94,38.04,38.04,35.42,34
Viet Nam,135.02,137.68,137.05,142.85,142.82,147.58,152.9,153.71,165.43,170.5,166.76,161.89,158.27,169.8,183.62,187.47,187.08,208.79,218.1,226.9,241.78,245.62,242.82,239.35,222.48,215.94,215.84,217.34,218.92,216.71,210.19,213.88,210,216.41,210.94,224.38,237.21,249.68,250.45,266.6,270.79,285.01,288.36,279.06,276.31,274.92,292.55,298.45,301.41,303.42,310.95,315.37,311.47,324.53,309.33,311.21,309.41,332.83,336.94,341.1,345.29,352.28,349.69,355.68,365.93,370.75,395.1,398.26,397.45,403.08,412.99,411.16,408.88,408.13,406.95,414.68,439.26,458.95,464.38
Wallis and Futuna Islands,9.47,9.47,9.47,5.56,5.56,5.56,5.56,5.56,5.56,6.42,6.42,6.42,6.42,4.29,4.52,4.52,4.52,4.52,7.44,7.44,7.44,6.76,6.76,,,7.4,7.4,10.75,10.75,10.75,10.75,9.84,10.2,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,8.18,5.49,5.49,5.49,5.55,5.55,5.55,5.55,5.05,5.05,5.05,5.05,5.05,5.05,5.05,4.87,,,,,,5.13,5.13,5.13,5.13,5.13,5.08,5.05,5.05,4.82,4.37,4.6,5.05,5.05,5.05,5.05
Yemen,55.36,52.82,61.51,64.76,63.69,62.63,67.48,68.37,67.34,63.53,58.15,62.54,57.34,59.14,50.58,47.42,46.57,48.02,47.62,44.7,44.48,44.53,42.23,35.33,34.22,38.98,40.27,38,41.01,44.1,43.93,45.88,41.89,49.19,47.9,46.76,45.28,35.06,32.68,33.84,33.86,33.42,36.24,21.14,21.17,20.66,19.5,19.87,16.3,17.28,15.38,14.55,15.17,15.17,19.29,20.67,21.59,20.7,20.24,19.79,19.22,18.24,16.56,18.1,20.51,25.72,25.95,20.74,22.19,21.95,22.51,21.81,33.01,36.54,36.16,33.44,39.93,38.41,38.1
